mmsi,shipname,callsign,fleet_iso3,fleet_name,imo
273354560,NAGORSK,UBLI8,RUS,Russia,8708000
273813900,LUCHEZARNYY,UHGT,RUS,Russia,7941813
353901000,HONG YING,H90Q,PAN,Panama,9097056
441723000,SAEHAN STELLAR,DSML2,KOR,South Korea,9016698
677058600,LIAO CHANG LENG 9,5IM686,CHN,China,8933083
412441730,HAI FENG 101,BZ2UN,CHN,China,8785448
528565426,FOR SHINE 1,T3HM2,KIR,Kiribati,8891302
258799000,RONJA HARVESTER,LAWU,NOR,Norway,9392547
725001544,RONIA ATLANTIC,CA5569,CHL,Chile,9451563
273358500,LIINAHAMARI,UBJG4,RUS,Russia,9123207
412679470,DONGYUAN2,BZUT8,CHN,China,9024712
367107030,AKEMI,WDC9814,USA,United States,
367108410,ST. LAZARIA,WDC9919,USA,United States,
367108420,AFOGNAK,WDC9920,USA,United States,7048829
367113130,CARMELA,WCZ8776,USA,United States,7049990
367116310,WILD SALMON,WDD2516,USA,United States,
367119230,NOR`QUEST,WDD2742,USA,United States,
367452240,LINDA B,WBF4466,USA,United States,
367494020,VIKING,WDF8358,USA,United States,7309780
367534430,SHELTER COVE,WDG4237,USA,United States,
368213000,SAVAGE,WAQ3499,USA,United States,8856390
227000000,POMOR,UBWO2,RUS,Russia,8860468
273382239,BLUETRANS,UBAO2,RUS,Russia,9220835
259078000,BJORGPAULINE,LFEG,NOR,Norway,9544671
325700000,HAIJILI,J7CX2,DMA,Dominica,9677595
352360000,DOLLY 798,4DEE3,PHL,Philippines,7916791
412440004,FUYUANYU91,BAWE,CHN,China,8414295
412440254,FUYUANYULENG19,BZU5K,CHN,China,
431200264,KAIKO MARU NO.37,JH3171,JPN,Japan,
431401138,KAIKO MARU NO.36,JK4863,JPN,Japan,
412330149,LURONGYUANYUYUN789,,CHN,China,
27331395,SIRIUS,UHVP,RUS,Russia,7700099
341049000,FRIO ARKHANGELSK,V4KI2,KNA,Saint Kitts and Nevis,8860444
229428000,SIERRAMERLOT,9HA3322,MLT,Malta,9076272
273332291,BUKHTA RUSSKAYA,UFLQ,RUS,Russia,9076272
273332302,BUKHTA RUSSKAYA,UFLQ,RUS,Russia,9076272
306871000,SIERRALARA,PJYP,CUW,Cura ao,9120205
636014563,ITALIANREEFER,A8UV4,LBR,Liberia,8920983
514394000,LUIN,XUAU2,KHM,Cambodia,8727018
273330284,POLTAVA,UEEJ,RUS,Russia,9175286
273342230,AMBER BALTIC,UBCG5,RUS,Russia,8513273
